"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 01 13:15:18 IST 2026","Wed Apr 01 13:15:27 IST 2026","9001","tests","test_product","TestProduct","","","Verify if able to add back light product","for adding bike light product"
"passed","Wed Apr 01 13:21:17 IST 2026","Wed Apr 01 13:21:36 IST 2026","19050","tests","test_shopping_cart","TestShoppingCart","","","Verify the logo text present on the web page","This do login and go to shopping cart page and verify the at top middle Swag labs is present or not"
"passed","Wed Apr 01 13:13:19 IST 2026","Wed Apr 01 13:13:26 IST 2026","6400","tests","test_product","TestProduct","","","Verify the page title","This do login and check product page title"
"passed","Wed Apr 01 13:05:00 IST 2026","Wed Apr 01 13:05:22 IST 2026","22100","tests","test_checkout_overview","TestCheckoutOverview","","","Verify the logo text present on the web page","This do login and go to checkout overview page and verify the at top middle Swag labs is present or not"
"passed","Wed Apr 01 13:09:14 IST 2026","Wed Apr 01 13:09:29 IST 2026","15611","tests","test_individual_product","TestProduct","","","Verify the individual product page backpack product","This do login and go to products page and click on product go into ind product backpack page"
"passed","Wed Apr 01 13:12:41 IST 2026","Wed Apr 01 13:12:45 IST 2026","3961","tests","test_login","TestLogin","","","Verify the text present on the web page","To test title of the login page"
"passed","Wed Apr 01 13:13:41 IST 2026","Wed Apr 01 13:13:47 IST 2026","6050","tests","test_product","TestProduct","","","Verify the text present on the web page","This do login and go to products page and verify the Product text and left right corner"
"passed","Wed Apr 01 12:54:30 IST 2026","Wed Apr 01 12:54:51 IST 2026","21370","tests","test_checkout","TestCheckout","","","Verify the page title","To Check title of checkout page"
"passed","Wed Apr 01 13:15:33 IST 2026","Wed Apr 01 13:15:50 IST 2026","16935","tests","test_product","TestProduct","","","Verify if able to add tshirt product","for adding bike tshirt product"
"passed","Wed Apr 01 13:22:08 IST 2026","Wed Apr 01 13:22:26 IST 2026","18455","tests","test_shopping_cart","TestShoppingCart","","","Verify the backpack product text present on the web page shopping cart","This will perform login add backpack product go to shopping cart and verify the product text"
"passed","Wed Apr 01 13:08:34 IST 2026","Wed Apr 01 13:08:50 IST 2026","15459","tests","test_individual_product","TestProduct","","","Verify the page title","This do login and check product page title"
"passed","Wed Apr 01 13:12:32 IST 2026","Wed Apr 01 13:12:37 IST 2026","4175","tests","test_login","TestLogin","","","Verify the login button present on web page","To test login button is present on the login page or not"
"passed","Wed Apr 01 13:22:52 IST 2026","Wed Apr 01 13:23:05 IST 2026","12856","tests","test_shopping_cart","TestShoppingCart","","","Verify the bike light product text present on the web page shopping cart","This will perform login add bike light product go to shopping cart and verify the product text"
"passed","Wed Apr 01 13:01:26 IST 2026","Wed Apr 01 13:01:48 IST 2026","22096","tests","test_checkout_complete","TestCheckoutComplete","","","Verify the logo text present on the web page","This do login and go to checkout complete and verify the at top middle Swag labs is present or not"
"passed","Wed Apr 01 13:23:10 IST 2026","Wed Apr 01 13:23:31 IST 2026","20949","tests","test_shopping_cart","TestShoppingCart","","","Verify the checkout button present on the web page for backapack product","This will chek checkout button"
"passed","Wed Apr 01 12:54:01 IST 2026","Wed Apr 01 12:54:26 IST 2026","24631","tests","test_checkout","TestCheckout","","","Verify the page title","To Check title of checkout page"
"passed","Wed Apr 01 12:58:25 IST 2026","Wed Apr 01 12:58:42 IST 2026","16264","tests","test_checkout","TestCheckout","","","Verify continue button present on the web page","This do login and go to products page add address details and click continue"
"passed","Wed Apr 01 12:57:09 IST 2026","Wed Apr 01 12:57:30 IST 2026","20824","tests","test_checkout","TestCheckout","","","Verify if able to add address on the web page","This do login and go to products page and verify the at top middle Swag labs is present or not"
"passed","Wed Apr 01 13:12:58 IST 2026","Wed Apr 01 13:13:04 IST 2026","5620","tests","test_login","TestLogin","","","Verify user can log in with valid credentials","To test the login using username and password"
"passed","Wed Apr 01 12:55:50 IST 2026","Wed Apr 01 12:56:11 IST 2026","21174","tests","test_checkout","TestCheckout","","","Verify the logo text present on the web page","This do login and go to shopping cart page and verify the at top middle Swag labs is present or not"
"passed","Wed Apr 01 13:10:11 IST 2026","Wed Apr 01 13:10:23 IST 2026","12406","tests","test_individual_product","TestProduct","","","Verify the remove individual product page bike light product","This do login and go to products page and click on product go into ind product bike light page and remove"
"passed","Wed Apr 01 12:54:55 IST 2026","Wed Apr 01 12:55:16 IST 2026","21400","tests","test_checkout","TestCheckout","","","Verify the text present on the web page","This do login and go to checkout page and verify the checkout text and left right corner"
"passed","Wed Apr 01 13:17:29 IST 2026","Wed Apr 01 13:18:06 IST 2026","37088","tests","test_product","TestProduct","","","Verify if about page is present in sidebar menu","for clickng the about page from sidebar menu"
